,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
0,0.022315699999992944,0.02276480000000447,0.015621799999998132,0.03433070000000171,0.008167000000000257,0.007209600000000371,0.0004331999999998004
1,0.02311459999999954,0.021906700000002388,0.016577499999996803,0.03394760000000119,0.010334499999999025,0.006412800000000551,0.0005336999999998593
2,0.02187939999998889,0.023534800000007294,0.015169199999995442,0.03224660000000057,0.008229299999999995,0.007666000000000395,0.00043039999999994194
3,0.021970699999997123,0.02338860000000409,0.01574370000000158,0.03254409999999908,0.00823090000000093,0.00649999999999995,0.00042259999999982867
4,0.025382799999988492,0.022737300000002847,0.016009100000005105,0.03176919999999939,0.008916900000000894,0.006781499999999774,0.0004182999999999826
5,0.021281400000006556,0.021610200000012014,0.01500090000000398,0.03254559999999884,0.007727499999999665,0.008161799999999886,0.0004383000000001136
6,0.02070430000000556,0.02364969999999289,0.015928099999996448,0.03200920000000096,0.008988199999999225,0.007269899999999829,0.0005937999999998667
7,0.02076679999998987,0.021879200000000765,0.01502110000000556,0.03246470000000201,0.00834299999999999,0.0076720999999997375,0.00042000000000008697
8,0.020750199999994834,0.022675399999997126,0.014972000000000207,0.0320229999999988,0.008737800000000462,0.005976800000000004,0.0004250000000001197
9,0.02053929999999582,0.021801500000009355,0.015852899999998726,0.032224400000000486,0.008562799999999982,0.006172399999999634,0.00042620000000015423
10,0.02248340000001292,0.02260800000000529,0.015104200000003232,0.032214699999997265,0.007982300000000109,0.006841500000000167,0.00043999999999999595
11,0.02203450000000373,0.021163500000000113,0.015047899999999004,0.03554630000000003,0.009589899999999929,0.008339799999999897,0.0004249999999998977
12,0.020362599999998565,0.023226600000000985,0.01516289999999998,0.032690099999999944,0.009596399999999505,0.006951499999999555,0.00042399999999997995
13,0.020982500000002346,0.023209300000004873,0.01480879999999729,0.03276349999999795,0.009236800000000045,0.006560900000000203,0.0004231000000001206
14,0.021142599999990352,0.022541699999990783,0.014888399999996693,0.03255100000000155,0.007414699999999996,0.006704699999999342,0.00042469999999994457
15,0.020708099999993124,0.02283229999999037,0.015529999999998267,0.035125199999999523,0.007602200000000892,0.006105699999999992,0.0004205999999999932
16,0.02120240000000706,0.022146399999996902,0.015456100000001527,0.03644130000000345,0.0075433000000000305,0.007579600000000575,0.0004319000000001516
17,0.021264400000006844,0.02059810000000084,0.014736299999995595,0.03288819999999859,0.007827599999998824,0.00707440000000048,0.0004336999999998703
