,heapsort_notinplace,heapsort_inplace,mergesort_notinplace,mergesort_inplace,quicksort_notinplace,quicksort_inplace,python_sort
35,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
36,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
37,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
38,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
39,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
40,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
41,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
42,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
43,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
44,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
45,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
46,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
47,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
48,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
49,6.469999999580978e-05,4.909999999824777e-05,7.560000000239597e-05,5.799999999922534e-05,3.080000000021954e-05,2.4600000000152278e-05,2.4999999999053557e-06
